Date,Flights climbed(count),Flights climbed(count) MOVING AVERAGE
2021-08-06,3.0,6.561011979025684
2021-08-07,4.0,6.304910781122791
2021-08-08,8.0,6.474419703010705
2021-08-09,8.0,6.626977732709792
2021-08-10,8.0,6.764279959438939
2021-08-11,5.0,6.587851963494898
2021-08-12,6.0,6.529066767145365
2021-08-13,4.0,6.2761600904306585
2021-08-14,6.0,6.248544081387576
2021-08-15,10.0,6.623689673249023
2021-08-16,16.0,7.561320705924581
2021-08-17,50.0,11.805188635333998
2021-08-18,6.0,11.224669771800368
2021-08-19,12.0,11.302202794620358
2021-08-20,7.0,10.871982515158184
2021-08-21,4.0,10.184784263642166
2021-08-22,15.0,10.666305837278074
2021-08-23,10.0,10.59967525355025
2021-08-24,7.0,10.23970772819515
2021-08-25,10.0,10.21573695537563
2021-08-26,3.0,9.494163259837944
2021-08-27,7.0,9.244746933854112
2021-08-28,13.0,9.620272240468752
2021-08-29,12.0,9.858245016421908
2021-08-30,6.0,9.472420514779673
2021-08-31,5.0,9.02517846330166
2021-09-01,9.0,9.022660616971494
2021-09-02,7.0,8.820394555274328
2021-09-03,6.0,8.538355099746875
2021-09-04,7.0,8.384519589772179
2021-09-05,5.0,8.04606763079494
2021-09-06,3.0,7.54146086771542
2021-09-07,5.0,7.287314780943866
2021-09-08,10.0,7.558583302849491
2021-09-09,10.0,7.802724972564551
2021-09-10,10.0,8.022452475308103
2021-09-11,6.0,7.820207227777287
2021-09-12,9.0,7.93818650499956
2021-09-13,7.0,7.844367854499602
2021-09-14,5.0,7.559931069049635
2021-09-15,9.0,7.703937962144675
2021-09-16,8.0,7.733544165930208
2021-09-17,6.0,7.560189749337185
2021-09-18,6.0,7.404170774403464
2021-09-19,6.0,7.263753696963116
2021-09-20,5.0,7.0373783272668025
2021-09-21,8.0,7.133640494540123
2021-09-22,8.0,7.220276445086112
2021-09-23,4.0,6.898248800577499
2021-09-24,6.0,6.808423920519749
2021-09-25,3.0,6.427581528467771
2021-09-26,6.0,6.384823375620994
2021-09-27,6.0,6.3463410380588945
2021-09-28,6.0,6.311706934253005
2021-09-29,9.0,6.580536240827706
2021-09-30,10.0,6.9224826167449365
2021-10-01,7.0,6.930234355070443
2021-10-02,9.0,7.137210919563398
2021-10-03,8.0,7.223489827607059
2021-10-04,7.0,7.201140844846353
2021-10-05,7.0,7.181026760361718
2021-10-06,8.0,7.262924084325546
2021-10-07,13.0,7.836631675892992
2021-10-08,12.0,8.252968508303693
2021-10-09,13.0,8.727671657473325
2021-10-10,8.0,8.654904491725992
2021-10-11,7.0,8.489414042553392
2021-10-12,8.0,8.440472638298052
2021-10-13,11.0,8.696425374468246
2021-10-14,8.0,8.626782837021421
2021-10-15,7.0,8.46410455331928
2021-10-16,8.0,8.41769409798735
2021-10-17,4.0,7.975924688188615
2021-10-18,13.0,8.478332219369754
2021-10-19,8.0,8.430498997432778
2021-10-20,10.0,8.5874490976895
2021-10-21,9.0,8.628704187920551
2021-10-22,4.0,8.165833769128495
2021-10-23,5.0,7.849250392215646
2021-10-24,6.0,7.664325352994082
2021-10-25,2.0,7.097892817694674
2021-10-26,5.0,6.8881035359252065
2021-10-27,9.0,7.099293182332685
2021-10-28,10.0,7.389363864099416
2021-10-29,8.0,7.450427477689474
2021-10-30,3.0,7.005384729920527
2021-10-31,9.0,7.204846256928475
2021-11-01,5.0,6.984361631235627
2021-11-02,5.0,6.7859254681120635
2021-11-03,10.0,7.107332921300857
2021-11-04,10.0,7.3965996291707725
2021-11-05,6.0,7.256939666253696
2021-11-06,8.0,7.331245699628326
2021-11-07,4.0,6.998121129665493
2021-11-08,9.0,7.198309016698944
2021-11-09,6.0,7.078478115029049
2021-11-10,8.0,7.170630303526146
2021-11-11,8.0,7.253567273173531
2021-11-12,6.0,7.128210545856178
2021-11-13,4.0,6.81538949127056
2021-11-14,6.0,6.733850542143504
2021-11-15,20.0,8.060465487929154
2021-11-16,3.0,7.554418939136238
2021-11-17,7.0,7.498977045222613
2021-11-18,7.0,7.449079340700352
2021-11-19,10.0,7.704171406630317
2021-11-20,4.0,7.3337542659672845
2021-11-21,0.0,6.600378839370555
