Date,Time in bed(hr)
2021-03-28 23:30:00 - 2021-03-29 07:32:49,8.047
2021-03-29 07:32:52 - 2021-03-29 07:32:58,0.002
2021-03-29 07:40:11 - 2021-03-29 07:40:32,0.006
2021-03-29 07:41:11 - 2021-03-29 07:42:30,0.022
2021-03-30 00:06:06 - 2021-03-30 07:31:39,7.426
2021-03-30 23:51:02 - 2021-03-31 07:25:33,7.575
2021-03-31 07:25:35 - 2021-03-31 07:25:54,0.005
2021-03-31 07:26:17 - 2021-03-31 07:26:43,0.007
2021-04-01 00:26:12 - 2021-04-01 07:34:50,7.144
2021-04-02 01:00:47 - 2021-04-02 09:01:25,8.011
2021-04-03 04:43:06 - 2021-04-03 04:47:06,0.066
2021-04-03 06:19:52 - 2021-04-03 07:30:48,1.182
2021-04-04 00:24:42 - 2021-04-04 07:50:31,7.430
2021-04-05 01:32:32 - 2021-04-05 07:31:13,5.978
2021-04-06 04:23:56 - 2021-04-06 07:41:31,3.293
2021-04-06 07:41:35 - 2021-04-06 07:41:37,0.001
2021-04-07 00:51:20 - 2021-04-07 07:34:55,6.726
2021-04-07 23:57:14 - 2021-04-08 07:41:57,7.745
2021-04-08 23:51:54 - 2021-04-09 07:35:46,7.731
2021-04-09 07:44:14 - 2021-04-09 07:45:55,0.028
2021-04-10 00:57:18 - 2021-04-10 07:31:15,6.566
2021-04-11 01:40:27 - 2021-04-11 08:09:23,6.482
2021-04-11 23:30:00 - 2021-04-12 07:31:31,8.025
2021-04-12 23:30:00 - 2021-04-13 07:49:56,8.332
2021-04-13 07:49:58 - 2021-04-13 07:50:11,0.004
2021-04-14 00:08:03 - 2021-04-14 00:08:11,0.002
2021-04-14 01:57:42 - 2021-04-14 07:42:50,5.752
2021-04-14 23:30:00 - 2021-04-15 07:39:17,8.155
2021-04-16 03:01:35 - 2021-04-16 07:30:47,4.487
2021-04-17 01:26:27 - 2021-04-17 08:59:53,7.557
2021-04-17 09:01:51 - 2021-04-17 09:03:52,0.034
2021-04-17 09:04:00 - 2021-04-17 09:05:08,0.019
2021-04-18 00:48:19 - 2021-04-18 07:33:51,6.759
