Date,Headphone sound levels(dBASPL)
2020-12-01 18:31:53 - 2020-12-01 18:37:29,68.026
2020-12-01 18:42:01 - 2020-12-01 18:47:32,64.657
2020-12-02 10:02:25 - 2020-12-02 10:08:56,53.704
2020-12-02 10:09:19 - 2020-12-02 10:29:59,46.652
2020-12-02 10:30:04 - 2020-12-02 10:34:20,44.495
2020-12-02 10:34:20 - 2020-12-02 10:39:00,50.532
2020-12-02 10:39:00 - 2020-12-02 10:39:03,39.721
2020-12-02 10:39:06 - 2020-12-02 10:40:33,44.134
2020-12-02 10:44:00 - 2020-12-02 10:45:19,63.511
2020-12-02 10:45:21 - 2020-12-02 10:45:54,56.483
2020-12-02 10:45:54 - 2020-12-02 10:47:21,66.679
2020-12-02 10:47:21 - 2020-12-02 10:52:01,62.944
2020-12-02 10:52:01 - 2020-12-02 10:52:58,67.843
2020-12-02 10:52:58 - 2020-12-02 10:53:34,66.347
2020-12-02 10:53:35 - 2020-12-02 10:53:40,63.340
2020-12-02 10:53:40 - 2020-12-02 11:06:31,61.339
2020-12-02 11:06:31 - 2020-12-02 11:06:43,56.377
2020-12-02 11:06:43 - 2020-12-02 11:28:59,54.444
2020-12-02 11:28:59 - 2020-12-02 11:36:46,50.444
2020-12-02 11:36:46 - 2020-12-02 11:38:31,54.574
2020-12-02 11:38:31 - 2020-12-02 12:00:00,53.491
2020-12-02 12:00:03 - 2020-12-02 12:04:34,53.872
2020-12-02 12:04:34 - 2020-12-02 12:05:34,58.650
2020-12-02 12:05:34 - 2020-12-02 12:05:40,57.152
2020-12-02 12:05:40 - 2020-12-02 12:05:46,57.211
2020-12-02 12:05:46 - 2020-12-02 12:09:02,52.757
2020-12-02 12:09:05 - 2020-12-02 12:09:20,51.974
2020-12-02 12:09:20 - 2020-12-02 12:12:09,52.646
2020-12-02 12:12:09 - 2020-12-02 12:12:45,56.030
2020-12-02 12:12:45 - 2020-12-02 12:13:18,56.459
2020-12-02 12:13:18 - 2020-12-02 12:13:21,56.504
2020-12-02 12:13:21 - 2020-12-02 12:15:06,56.293
2020-12-02 12:15:06 - 2020-12-02 12:18:04,55.831
2020-12-02 12:18:07 - 2020-12-02 12:33:10,55.644
2020-12-02 12:33:10 - 2020-12-02 12:33:13,50.786
2020-12-02 12:33:13 - 2020-12-02 12:36:10,48.250
2020-12-02 12:36:10 - 2020-12-02 12:36:43,53.048
2020-12-02 12:36:43 - 2020-12-02 12:37:41,52.801
2020-12-02 12:37:41 - 2020-12-02 12:37:53,51.726
2020-12-02 12:37:53 - 2020-12-02 12:39:59,57.991
2020-12-02 12:40:32 - 2020-12-02 12:40:35,58.583
2020-12-02 12:40:35 - 2020-12-02 12:42:05,63.781
2020-12-02 12:43:48 - 2020-12-02 12:51:41,67.940
